Time(s),Temp(C),Power(W),Gov_Memory(KB)
230.73,41.3,4.458,16.0
232.94,41.3,4.432,16.0
233.94,41.4,4.608,16.0
234.97,41.4,4.454,16.0
236.11,41.4,4.661,16.0
237.68,41.4,4.509,16.0
239.78,41.4,4.363,16.0
240.78,41.4,4.359,16.0
241.97,41.4,4.486,16.0
243.11,41.5,4.471,16.0
244.8,41.5,4.471,16.0
245.93,41.5,4.399,16.0
248.14,41.5,4.549,16.0
249.14,41.5,4.413,16.0
251.75,41.5,4.543,16.0
252.75,41.5,4.543,16.0
253.75,41.6,4.563,16.0
254.75,41.6,4.362,16.0
257.02,41.6,4.299,16.0
259.57,41.6,4.454,16.0
261.09,41.6,4.391,16.0
262.09,41.6,4.316,16.0
263.09,41.7,4.337,16.0
264.48,41.7,4.342,16.0
265.48,41.7,4.254,16.0
266.48,41.7,4.305,16.0
267.87,41.7,4.4,16.0
268.87,41.7,4.476,16.0
270.54,41.8,4.498,16.0
272.46,41.8,4.451,16.0
273.46,41.8,4.404,16.0
274.73,41.8,4.412,16.0
277.23,41.8,4.511,16.0
278.59,41.8,4.451,16.0
280.14,41.8,4.397,16.0
281.14,41.8,4.336,16.0
282.14,41.9,4.191,16.0
284.89,41.9,4.248,16.0
286.14,41.9,4.17,16.0
288.16,41.9,4.418,16.0
289.16,41.9,4.418,16.0
290.17,41.9,4.507,16.0
291.78,41.9,4.413,16.0
292.78,41.9,4.49,16.0
293.91,42.0,4.405,16.0
296.44,42.0,4.505,16.0
297.48,42.0,4.452,16.0
