Time(s),Temp(C),Power(W),Gov_Memory(KB)
0.0,37.9,2.256,16.0
1.56,37.9,7.539,16.0
2.63,37.8,6.399,16.0
3.63,37.8,5.932,16.0
4.63,37.8,5.529,16.0
6.63,37.8,5.434,16.0
7.85,37.8,5.24,16.0
8.85,37.8,5.323,16.0
10.44,37.8,5.222,16.0
11.82,37.8,5.117,16.0
13.61,37.8,5.057,16.0
15.56,37.8,4.887,16.0
17.4,37.8,4.961,16.0
19.21,37.8,4.94,16.0
20.41,37.8,4.976,16.0
22.17,38.0,4.884,16.0
23.92,38.0,4.879,16.0
25.78,38.0,4.865,16.0
26.78,38.0,4.887,16.0
27.78,38.0,4.698,16.0
28.78,38.0,4.826,16.0
29.78,38.0,4.804,16.0
30.78,38.0,4.864,16.0
32.11,38.0,4.904,16.0
33.11,38.2,4.977,16.0
34.64,38.2,5.107,16.0
36.21,38.2,4.978,16.0
37.21,38.2,4.921,16.0
38.76,38.2,4.827,16.0
39.97,38.2,4.821,16.0
41.45,38.4,4.808,16.0
43.98,38.4,4.879,16.0
45.97,38.4,4.905,16.0
47.71,38.4,4.882,16.0
49.27,38.4,4.691,16.0
50.38,38.4,4.808,16.0
51.38,38.7,4.882,16.0
53.5,38.7,4.915,16.0
54.5,38.7,4.726,16.0
55.93,38.7,4.733,16.0
56.93,38.7,4.827,16.0
57.93,38.7,4.916,16.0
58.93,38.7,4.874,16.0
59.93,38.7,4.938,16.0
62.45,38.9,4.778,16.0
63.45,38.9,4.556,16.0
64.45,38.9,4.597,16.0
65.57,38.9,4.542,16.0
68.0,39.0,4.71,16.0
69.49,39.0,4.823,16.0
71.29,39.0,4.731,16.0
73.0,39.1,4.742,16.0
74.18,39.1,4.766,16.0
75.25,39.1,4.694,16.0
77.74,39.1,4.553,16.0
78.93,39.1,4.714,16.0
80.19,39.1,4.73,16.0
81.59,39.1,4.502,16.0
82.88,39.3,4.444,16.0
85.57,39.3,4.558,16.0
86.57,39.3,4.537,16.0
88.06,39.3,4.52,16.0
89.55,39.3,4.75,16.0
90.68,39.3,4.552,16.0
92.22,39.5,4.575,16.0
93.22,39.5,4.763,16.0
95.25,39.5,4.627,16.0
96.37,39.5,4.703,16.0
97.99,39.5,4.606,16.0
99.6,39.5,4.779,16.0
100.92,39.5,4.613,16.0
102.55,39.7,4.5,16.0
105.33,39.7,4.597,16.0
106.43,39.7,4.628,16.0
108.29,39.7,4.518,16.0
109.56,39.7,4.455,16.0
111.62,39.8,4.518,16.0
114.38,39.8,4.702,16.0
116.5,39.8,4.77,16.0
117.5,39.8,4.689,16.0
118.5,39.9,4.594,16.0
119.5,40.0,4.687,16.0
120.75,40.0,4.494,16.0
122.82,40.0,4.607,16.0
123.82,40.1,4.496,16.0
125.47,40.1,4.474,16.0
126.64,40.1,4.552,16.0
127.64,40.1,4.672,16.0
129.91,40.1,4.547,16.0
131.98,40.1,4.361,16.0
132.98,40.2,4.591,16.0
133.98,40.2,4.652,16.0
135.35,40.2,4.607,16.0
137.1,40.2,4.532,16.0
138.1,40.2,4.539,16.0
139.1,40.2,4.593,16.0
140.1,40.2,4.59,16.0
141.32,40.2,4.475,16.0
142.32,40.2,4.47,16.0
144.05,40.3,4.382,16.0
145.05,40.3,4.494,16.0
147.36,40.3,4.402,16.0
148.36,40.3,4.423,16.0
149.36,40.3,4.385,16.0
150.36,40.3,4.607,16.0
151.39,40.3,4.612,16.0
152.39,40.4,4.593,16.0
154.74,40.4,4.344,16.0
155.74,40.4,4.376,16.0
156.74,40.4,4.577,16.0
158.62,40.6,4.38,16.0
161.23,40.6,4.4,16.0
162.27,40.6,4.476,16.0
164.13,40.6,4.424,16.0
165.13,40.6,4.323,16.0
167.48,40.6,4.509,16.0
169.53,40.6,4.488,16.0
170.53,40.6,4.625,16.0
171.53,40.6,4.29,16.0
173.19,40.7,4.346,16.0
174.99,40.7,4.313,16.0
176.07,40.7,4.494,16.0
178.05,40.7,4.69,16.0
179.05,40.7,4.517,16.0
180.53,40.7,4.342,16.0
182.26,40.7,4.194,16.0
183.26,40.8,4.558,16.0
184.92,40.8,4.456,16.0
186.35,40.8,4.341,16.0
187.4,40.8,4.344,16.0
188.4,40.8,4.458,16.0
189.71,40.8,4.414,16.0
191.36,40.8,4.404,16.0
192.76,40.9,4.235,16.0
195.39,40.9,4.493,16.0
196.48,41.0,4.435,16.0
197.48,41.0,4.435,16.0
199.15,41.0,4.248,16.0
201.56,41.0,4.348,16.0
202.56,41.1,4.381,16.0
204.03,41.1,4.343,16.0
205.61,41.1,4.253,16.0
207.27,41.1,4.576,16.0
209.56,41.1,4.382,16.0
210.56,41.1,4.417,16.0
212.72,41.1,4.303,16.0
213.72,41.2,4.379,16.0
214.8,41.2,4.356,16.0
215.96,41.2,4.42,16.0
217.58,41.2,4.234,16.0
218.58,41.2,4.286,16.0
220.06,41.2,4.25,16.0
221.38,41.2,4.25,16.0
222.38,41.2,4.328,16.0
223.38,41.3,4.322,16.0
224.38,41.3,4.494,16.0
225.52,41.3,4.459,16.0
226.52,41.3,4.578,16.0
227.54,41.3,4.456,16.0
228.99,41.3,4.307,16.0
