Time(s),Temp(C),Power(W),Gov_Memory(KB)
0.0,37.8,0.2,16.0
1.38,37.8,6.836,16.0
2.38,37.8,6.721,16.0
3.38,37.7,6.06,16.0
4.38,37.7,5.918,16.0
5.54,37.7,5.634,16.0
6.64,37.7,5.478,16.0
8.04,37.7,5.294,16.0
9.27,37.7,5.204,16.0
11.63,37.7,5.154,16.0
12.63,37.7,5.067,16.0
14.44,37.7,5.146,16.0
15.46,37.8,5.293,16.0
17.4,37.8,5.265,16.0
18.47,37.8,5.264,16.0
19.93,37.8,4.947,16.0
21.39,37.8,5.024,16.0
22.61,37.8,4.87,16.0
24.33,37.9,4.886,16.0
26.23,38.0,5.055,16.0
27.32,38.0,5.057,16.0
29.11,38.0,5.096,16.0
30.43,38.0,5.038,16.0
31.64,38.0,4.977,16.0
33.41,38.0,4.974,16.0
35.18,38.0,4.796,16.0
36.57,38.2,5.074,16.0
37.76,38.2,5.0,16.0
38.76,38.2,4.856,16.0
41.34,38.2,4.836,16.0
42.34,38.2,4.832,16.0
43.34,38.2,4.852,16.0
44.47,38.2,4.831,16.0
45.47,38.4,4.793,16.0
47.57,38.4,4.701,16.0
48.57,38.4,4.586,16.0
49.97,38.4,4.647,16.0
50.97,38.4,4.628,16.0
52.14,38.4,4.626,16.0
54.26,38.4,4.782,16.0
55.26,38.7,4.706,16.0
58.11,38.7,4.583,16.0
59.59,38.7,4.59,16.0
60.73,38.7,4.703,16.0
62.15,38.7,4.645,16.0
63.15,38.7,4.682,16.0
64.15,38.7,4.661,16.0
65.5,38.7,4.719,16.0
66.92,38.9,4.811,16.0
68.81,38.9,4.658,16.0
70.43,39.0,4.828,16.0
72.05,39.0,4.73,16.0
73.63,39.1,4.744,16.0
75.01,39.1,4.812,16.0
76.01,39.1,4.72,16.0
77.88,39.1,4.734,16.0
78.88,39.1,4.787,16.0
79.88,39.1,4.826,16.0
80.88,39.1,4.702,16.0
82.04,39.1,4.606,16.0
83.04,39.1,4.642,16.0
84.45,39.1,4.808,16.0
85.45,39.1,4.881,16.0
87.32,39.3,4.493,16.0
88.5,39.3,4.355,16.0
90.8,39.3,4.567,16.0
93.52,39.3,4.358,16.0
94.52,39.3,4.49,16.0
96.14,39.3,4.659,16.0
97.22,39.5,4.647,16.0
99.41,39.5,4.564,16.0
102.77,39.5,4.701,16.0
103.77,39.5,4.691,16.0
104.8,39.5,4.804,16.0
105.8,39.7,4.617,16.0
108.25,39.7,4.636,16.0
109.69,39.7,4.714,16.0
111.21,39.7,4.625,16.0
112.68,39.7,4.733,16.0
114.1,39.7,4.558,16.0
115.1,39.7,4.657,16.0
116.35,39.7,4.748,16.0
117.35,39.8,4.748,16.0
118.35,39.8,4.672,16.0
119.35,39.8,4.603,16.0
120.39,39.9,4.764,16.0
121.73,40.0,4.846,16.0
123.52,40.0,4.603,16.0
124.52,40.0,4.731,16.0
125.53,40.0,4.762,16.0
126.53,40.0,4.653,16.0
127.61,40.0,4.383,16.0
129.33,40.0,4.435,16.0
130.59,40.0,4.525,16.0
133.71,40.0,4.62,16.0
134.71,40.0,4.545,16.0
136.34,40.2,4.615,16.0
137.55,40.2,4.658,16.0
138.86,40.2,4.777,16.0
139.96,40.2,4.638,16.0
141.47,40.2,4.561,16.0
142.47,40.2,4.67,16.0
143.47,40.2,4.581,16.0
144.54,40.2,4.619,16.0
146.41,40.3,4.505,16.0
148.76,40.3,4.47,16.0
149.96,40.3,4.41,16.0
150.96,40.3,4.412,16.0
151.96,40.3,4.62,16.0
152.96,40.3,4.62,16.0
154.06,40.3,4.579,16.0
155.06,40.3,4.779,16.0
156.06,40.3,4.672,16.0
157.79,40.4,4.488,16.0
158.88,40.4,4.488,16.0
159.88,40.4,4.654,16.0
160.88,40.4,4.631,16.0
162.6,40.4,4.423,16.0
164.77,40.4,4.748,16.0
166.12,40.4,4.579,16.0
167.12,40.6,4.634,16.0
168.34,40.6,4.631,16.0
169.86,40.6,4.594,16.0
170.86,40.6,4.652,16.0
171.86,40.6,4.597,16.0
173.33,40.6,4.466,16.0
174.33,40.6,4.522,16.0
175.36,40.6,4.486,16.0
178.01,40.7,4.356,16.0
179.01,40.7,4.356,16.0
180.01,40.7,4.466,16.0
181.44,40.7,4.444,16.0
182.7,40.7,4.629,16.0
184.92,40.7,4.525,16.0
186.44,40.8,4.559,16.0
188.09,40.8,4.729,16.0
189.49,40.8,4.54,16.0
190.62,40.8,4.706,16.0
191.66,40.8,4.592,16.0
192.66,40.8,4.539,16.0
193.93,40.8,4.52,16.0
195.99,40.9,4.443,16.0
197.95,40.9,4.583,16.0
199.57,40.9,4.407,16.0
201.18,40.9,4.446,16.0
202.68,40.9,4.388,16.0
204.07,40.9,4.388,16.0
205.07,41.0,4.613,16.0
206.11,41.0,4.609,16.0
207.11,41.0,4.808,16.0
208.48,41.0,4.525,16.0
209.74,41.0,4.332,16.0
210.74,41.0,4.336,16.0
211.98,41.0,4.39,16.0
213.01,41.0,4.331,16.0
214.75,41.0,4.351,16.0
216.07,41.0,4.474,16.0
217.07,41.1,4.617,16.0
218.12,41.1,4.609,16.0
219.12,41.1,4.519,16.0
220.29,41.1,4.577,16.0
221.29,41.1,4.569,16.0
222.48,41.1,4.626,16.0
223.59,41.1,4.559,16.0
225.29,41.1,4.481,16.0
226.29,41.1,4.483,16.0
227.36,41.2,4.405,16.0
228.36,41.2,4.37,16.0
229.88,41.2,4.363,16.0
230.88,41.2,4.375,16.0
231.88,41.2,4.33,16.0
232.88,41.2,4.364,16.0
233.88,41.2,4.441,16.0
235.58,41.2,4.482,16.0
236.58,41.3,4.661,16.0
238.4,41.3,4.593,16.0
239.4,41.3,4.594,16.0
240.4,41.3,4.517,16.0
242.94,41.3,4.56,16.0
245.66,41.3,4.48,16.0
247.66,41.4,4.355,16.0
248.66,41.4,4.313,16.0
249.78,41.4,4.313,16.0
250.83,41.4,4.296,16.0
251.92,41.4,4.462,16.0
252.92,41.4,4.299,16.0
253.92,41.4,4.224,16.0
256.05,41.4,4.297,16.0
257.09,41.4,4.514,16.0
259.19,41.4,4.404,16.0
260.19,41.4,4.35,16.0
261.42,41.4,4.349,16.0
262.42,41.4,4.275,16.0
263.42,41.4,4.369,16.0
264.43,41.4,4.404,16.0
265.78,41.4,4.388,16.0
267.13,41.5,4.294,16.0
268.78,41.5,4.277,16.0
270.45,41.5,4.367,16.0
271.45,41.5,4.5,16.0
272.97,41.5,4.554,16.0
274.46,41.5,4.532,16.0
275.73,41.5,4.5,16.0
277.38,41.6,4.442,16.0
278.4,41.6,4.556,16.0
279.4,41.6,4.555,16.0
280.63,41.6,4.403,16.0
281.82,41.6,4.484,16.0
283.42,41.6,4.462,16.0
284.54,41.6,4.405,16.0
286.16,41.6,4.343,16.0
287.16,41.6,4.258,16.0
288.35,41.6,4.258,16.0
289.54,41.6,4.275,16.0
291.28,41.7,4.363,16.0
295.98,41.7,4.476,16.0
296.98,41.7,4.497,16.0
297.98,41.7,4.442,16.0
299.46,41.7,4.367,16.0
