Time(s),Temp(C),Power(W),Gov_Memory(KB)
248.86,41.4,4.533,16.0
250.48,41.4,4.379,16.0
253.03,41.4,4.473,16.0
255.44,41.4,4.253,16.0
257.86,41.4,4.363,16.0
258.91,41.4,4.59,16.0
260.8,41.4,4.476,16.0
263.06,41.4,4.328,16.0
264.86,41.5,4.476,16.0
265.94,41.5,4.275,16.0
267.21,41.5,4.443,16.0
268.44,41.5,4.344,16.0
271.44,41.5,4.296,16.0
272.8,41.5,4.199,16.0
273.8,41.5,4.273,16.0
275.69,41.6,4.382,16.0
276.69,41.6,4.481,16.0
278.12,41.6,4.514,16.0
279.27,41.6,4.202,16.0
281.49,41.6,4.175,16.0
283.57,41.6,4.36,16.0
285.03,41.6,4.344,16.0
286.03,41.7,4.575,16.0
287.73,41.7,4.572,16.0
289.37,41.7,4.311,16.0
291.43,41.7,4.454,16.0
294.44,41.8,4.399,16.0
296.71,41.8,4.249,16.0
298.23,41.8,4.511,16.0
299.95,41.8,4.344,16.0
