Time(s),Temp(C),Power(W),Gov_Memory(KB)
0.0,37.9,0.22,16.0
1.15,37.9,6.582,16.0
2.89,37.7,5.882,16.0
3.89,37.7,5.768,16.0
5.01,37.7,5.551,16.0
6.62,37.7,5.415,16.0
7.72,37.7,5.4,16.0
9.27,37.7,5.217,16.0
10.76,37.7,5.214,16.0
12.81,37.7,4.968,16.0
13.9,37.7,4.85,16.0
14.9,37.7,4.853,16.0
16.52,37.7,5.107,16.0
19.0,37.7,4.772,16.0
20.84,37.7,4.918,16.0
21.84,37.7,4.983,16.0
22.84,37.7,4.916,16.0
24.54,37.9,4.832,16.0
25.54,37.9,4.804,16.0
27.99,37.9,4.912,16.0
29.0,38.0,4.723,16.0
30.87,38.0,4.964,16.0
32.21,38.0,4.98,16.0
33.93,38.1,4.849,16.0
35.58,38.1,4.798,16.0
36.72,38.1,4.827,16.0
39.1,38.1,4.842,16.0
40.9,38.1,4.793,16.0
41.9,38.1,4.864,16.0
44.5,38.3,4.77,16.0
45.5,38.3,4.784,16.0
47.1,38.3,4.808,16.0
49.5,38.3,4.83,16.0
52.32,38.3,4.808,16.0
53.78,38.3,4.83,16.0
54.89,38.6,4.858,16.0
55.92,38.6,4.729,16.0
58.3,38.6,4.737,16.0
59.62,38.6,4.74,16.0
60.62,38.6,4.868,16.0
61.77,38.6,4.767,16.0
62.77,38.6,4.84,16.0
65.1,38.8,4.654,16.0
66.38,38.8,4.693,16.0
67.38,38.8,4.735,16.0
68.92,38.8,4.642,16.0
70.73,39.0,4.49,16.0
73.86,39.0,4.748,16.0
75.11,39.0,4.597,16.0
78.78,39.0,4.539,16.0
79.78,39.0,4.66,16.0
81.0,39.0,4.483,16.0
82.18,39.0,4.392,16.0
84.28,39.2,4.537,16.0
86.35,39.2,4.47,16.0
88.77,39.2,4.467,16.0
89.89,39.2,4.411,16.0
92.14,39.2,4.528,16.0
93.62,39.2,4.597,16.0
94.81,39.4,4.674,16.0
96.32,39.4,4.799,16.0
97.39,39.4,4.694,16.0
100.2,39.4,4.521,16.0
101.55,39.4,4.672,16.0
103.99,39.4,4.753,16.0
104.99,39.5,4.64,16.0
106.74,39.5,4.521,16.0
108.21,39.5,4.506,16.0
109.82,39.5,4.41,16.0
111.03,39.5,4.464,16.0
113.19,39.5,4.186,16.0
114.91,39.7,4.336,16.0
116.75,39.8,4.634,16.0
119.31,39.8,4.368,16.0
121.71,39.8,4.502,16.0
123.21,39.8,4.407,16.0
124.99,39.9,4.48,16.0
125.99,39.9,4.634,16.0
127.49,39.9,4.534,16.0
128.69,40.0,4.518,16.0
130.53,40.0,4.625,16.0
133.42,40.1,4.422,16.0
134.78,40.1,4.425,16.0
135.78,40.1,4.579,16.0
137.25,40.1,4.557,16.0
138.29,40.1,4.558,16.0
139.77,40.1,4.592,16.0
143.65,40.3,4.661,16.0
147.16,40.3,4.431,16.0
149.14,40.3,4.533,16.0
150.14,40.3,4.481,16.0
152.48,40.3,4.538,16.0
153.8,40.3,4.753,16.0
155.26,40.4,4.744,16.0
156.26,40.4,4.595,16.0
158.05,40.4,4.556,16.0
159.99,40.4,4.462,16.0
161.17,40.4,4.553,16.0
162.17,40.4,4.672,16.0
163.73,40.4,4.626,16.0
164.97,40.5,4.498,16.0
167.97,40.5,4.485,16.0
168.97,40.5,4.479,16.0
170.56,40.5,4.444,16.0
172.16,40.5,4.406,16.0
174.75,40.6,4.535,16.0
175.88,40.6,4.447,16.0
178.4,40.6,4.354,16.0
179.4,40.6,4.349,16.0
180.63,40.6,4.321,16.0
183.88,40.6,4.332,16.0
184.88,40.6,4.332,16.0
185.88,40.7,4.534,16.0
187.16,40.7,4.72,16.0
188.87,40.7,4.892,16.0
190.61,40.7,4.807,16.0
191.61,40.7,4.774,16.0
193.69,40.9,4.398,16.0
195.95,40.9,4.48,16.0
197.14,40.9,4.344,16.0
198.52,40.9,4.554,16.0
199.84,40.9,4.421,16.0
201.78,40.9,4.4,16.0
203.01,40.9,4.274,16.0
204.83,40.9,4.273,16.0
205.83,40.9,4.476,16.0
207.09,41.0,4.398,16.0
208.09,41.0,4.493,16.0
211.1,41.0,4.382,16.0
213.0,41.0,4.424,16.0
214.17,41.0,4.296,16.0
215.69,41.1,4.404,16.0
216.69,41.1,4.454,16.0
217.69,41.1,4.308,16.0
218.95,41.1,4.348,16.0
221.57,41.1,4.558,16.0
222.57,41.1,4.698,16.0
223.57,41.1,4.754,16.0
224.9,41.1,4.611,16.0
225.9,41.2,4.745,16.0
227.15,41.2,4.658,16.0
231.06,41.2,4.873,16.0
232.86,41.2,4.531,16.0
233.86,41.2,4.592,16.0
235.21,41.3,4.379,16.0
237.51,41.3,4.512,16.0
238.51,41.3,4.442,16.0
239.51,41.3,4.463,16.0
241.1,41.3,4.477,16.0
242.36,41.3,4.572,16.0
243.36,41.3,4.528,16.0
244.41,41.3,4.441,16.0
245.41,41.4,4.495,16.0
