Time(s),Temp(C),Power(W),Gov_Memory(KB)
0.0,37.8,0.162,0.0
1.0,37.8,7.716,0.0
2.17,37.8,6.432,0.0
3.18,37.8,5.865,0.0
4.18,37.7,5.56,0.0
5.42,37.7,5.522,0.0
6.42,37.7,5.72,0.0
7.71,37.7,5.455,0.0
9.13,37.7,5.263,0.0
10.52,37.7,5.254,0.0
11.52,37.7,5.13,0.0
12.52,37.7,5.127,0.0
13.52,37.7,4.784,0.0
14.52,37.7,5.049,0.0
15.85,37.7,4.801,0.0
16.85,37.7,4.853,0.0
17.85,37.7,4.861,0.0
18.85,37.7,4.88,0.0
19.85,37.7,4.803,0.0
20.85,37.7,4.819,0.0
21.86,37.7,4.823,0.0
22.86,37.7,4.821,0.0
24.01,37.7,4.842,0.0
25.68,37.7,4.948,0.0
26.68,37.7,4.969,0.0
27.73,37.9,4.891,0.0
28.73,37.9,4.816,0.0
30.69,38.0,4.895,0.0
32.61,38.0,4.933,0.0
33.66,38.0,4.918,0.0
35.36,38.0,4.868,0.0
36.36,38.0,5.029,0.0
37.36,38.0,4.868,0.0
38.36,38.1,4.837,0.0
39.36,38.1,4.762,0.0
40.44,38.1,4.778,0.0
42.75,38.1,4.778,0.0
43.75,38.1,4.856,0.0
45.05,38.1,4.719,0.0
46.06,38.1,4.937,0.0
47.49,38.4,4.773,0.0
49.02,38.4,4.645,0.0
50.02,38.4,4.735,0.0
51.02,38.4,4.832,0.0
52.1,38.4,4.66,0.0
54.15,38.4,4.595,0.0
56.74,38.4,4.929,0.0
57.74,38.6,4.592,0.0
59.49,38.6,4.457,0.0
61.68,38.6,4.719,0.0
62.77,38.6,4.52,0.0
64.38,38.6,4.482,0.0
65.49,38.6,4.583,0.0
66.49,38.6,4.594,0.0
67.49,38.6,4.613,0.0
68.49,38.8,4.74,0.0
69.49,38.8,4.709,0.0
70.49,38.8,4.668,0.0
71.98,38.8,4.715,0.0
72.98,38.8,4.724,0.0
74.49,39.0,4.671,0.0
75.64,39.0,4.942,0.0
76.64,39.0,4.681,0.0
77.79,39.1,4.907,0.0
79.09,39.1,4.739,0.0
80.09,39.1,4.85,0.0
81.3,39.1,4.64,0.0
83.28,39.1,4.666,0.0
84.28,39.1,4.609,0.0
85.89,39.1,4.6,0.0
86.89,39.1,4.67,0.0
87.89,39.3,4.719,0.0
88.89,39.3,4.632,0.0
89.89,39.3,4.608,0.0
90.89,39.3,4.68,0.0
91.89,39.3,4.642,0.0
93.31,39.3,4.818,0.0
95.24,39.3,4.729,0.0
96.31,39.3,4.816,0.0
97.37,39.3,4.606,0.0
98.65,39.5,4.733,0.0
99.65,39.5,4.718,0.0
100.65,39.5,4.75,0.0
101.65,39.5,4.64,0.0
102.65,39.5,4.588,0.0
103.92,39.5,4.863,0.0
104.94,39.5,4.868,0.0
105.94,39.5,4.696,0.0
106.94,39.5,4.784,0.0
107.94,39.7,4.704,0.0
109.1,39.7,4.629,0.0
111.8,39.7,4.587,0.0
112.8,39.7,4.711,0.0
114.0,39.7,4.726,0.0
115.0,39.7,4.785,0.0
116.12,39.7,4.766,0.0
117.12,39.7,4.682,0.0
118.12,39.8,4.589,0.0
119.53,39.8,4.823,0.0
120.87,39.8,4.823,0.0
121.87,39.8,4.729,0.0
123.19,39.9,4.859,0.0
124.42,39.9,4.843,0.0
125.42,39.9,4.71,0.0
127.02,40.0,4.654,0.0
128.02,40.0,4.618,0.0
129.02,40.0,4.656,0.0
130.35,40.0,4.622,0.0
131.4,40.0,4.715,0.0
132.74,40.1,4.715,0.0
133.84,40.1,4.515,0.0
134.84,40.1,4.438,0.0
135.84,40.1,4.591,0.0
137.64,40.2,4.416,0.0
139.32,40.2,4.429,0.0
141.88,40.2,4.508,0.0
142.88,40.2,4.7,0.0
144.33,40.2,4.586,0.0
145.33,40.2,4.415,0.0
146.56,40.2,4.325,0.0
148.64,40.3,4.258,0.0
149.65,40.3,4.514,0.0
150.65,40.3,4.394,0.0
151.65,40.3,4.427,0.0
152.65,40.3,4.449,0.0
153.65,40.3,4.576,0.0
154.65,40.3,4.51,0.0
155.65,40.3,4.522,0.0
156.65,40.3,4.451,0.0
157.65,40.3,4.45,0.0
158.65,40.4,4.346,0.0
159.65,40.4,4.475,0.0
160.65,40.4,4.471,0.0
161.65,40.4,4.567,0.0
162.93,40.4,4.604,0.0
163.93,40.4,4.642,0.0
164.96,40.4,4.663,0.0
166.98,40.4,4.566,0.0
167.98,40.6,4.679,0.0
169.71,40.6,4.413,0.0
170.72,40.6,4.547,0.0
171.73,40.6,4.471,0.0
172.73,40.6,4.45,0.0
173.81,40.6,4.455,0.0
174.81,40.6,4.514,0.0
176.15,40.6,4.27,0.0
177.75,40.6,4.656,0.0
178.75,40.7,4.395,0.0
179.75,40.7,4.362,0.0
180.75,40.7,4.302,0.0
181.87,40.7,4.382,0.0
182.87,40.7,4.394,0.0
184.59,40.7,4.395,0.0
185.59,40.7,4.289,0.0
187.0,40.7,4.271,0.0
188.07,40.7,4.569,0.0
189.07,40.8,4.56,0.0
190.07,40.8,4.528,0.0
191.21,40.8,4.528,0.0
192.58,40.8,4.641,0.0
193.58,40.8,4.609,0.0
195.33,40.8,4.535,0.0
197.39,40.9,4.509,0.0
199.03,40.9,4.508,0.0
200.03,40.9,4.431,0.0
201.03,40.9,4.489,0.0
202.44,40.9,4.414,0.0
203.46,40.9,4.411,0.0
205.98,40.9,4.407,0.0
206.98,41.0,4.484,0.0
208.25,41.0,4.484,0.0
209.25,41.0,4.231,0.0
210.88,41.0,4.45,0.0
211.88,41.0,4.316,0.0
212.92,41.0,4.321,0.0
213.92,41.0,4.289,0.0
216.1,41.0,4.351,0.0
217.18,41.0,4.38,0.0
218.65,41.1,4.302,0.0
220.01,41.1,4.3,0.0
221.01,41.1,4.336,0.0
222.01,41.1,4.427,0.0
223.01,41.1,4.431,0.0
224.21,41.1,4.318,0.0
226.4,41.1,4.313,0.0
228.48,41.2,4.231,0.0
230.85,41.2,4.461,0.0
231.85,41.2,4.348,0.0
232.85,41.2,4.468,0.0
233.86,41.2,4.318,0.0
234.86,41.2,4.413,0.0
235.86,41.2,4.351,0.0
236.91,41.2,4.604,0.0
237.91,41.2,4.654,0.0
238.91,41.4,4.581,0.0
240.45,41.4,4.563,0.0
241.64,41.4,4.603,0.0
243.34,41.4,4.509,0.0
244.34,41.4,4.501,0.0
245.34,41.4,4.404,0.0
246.94,41.4,4.313,0.0
248.69,41.5,4.281,0.0
249.69,41.5,4.293,0.0
250.69,41.5,4.285,0.0
251.69,41.5,4.282,0.0
252.69,41.5,4.226,0.0
253.69,41.5,4.297,0.0
254.91,41.5,4.351,0.0
255.91,41.5,4.464,0.0
258.22,41.5,4.341,0.0
259.22,41.6,4.302,0.0
260.88,41.6,4.357,0.0
262.16,41.6,4.391,0.0
263.8,41.6,4.375,0.0
264.8,41.6,4.333,0.0
265.86,41.6,4.267,0.0
267.24,41.6,4.282,0.0
269.15,41.7,4.188,0.0
271.02,41.7,4.268,0.0
272.07,41.7,4.268,0.0
273.07,41.7,4.411,0.0
274.07,41.7,4.482,0.0
275.69,41.7,4.348,0.0
278.06,41.7,4.35,0.0
279.06,41.7,4.297,0.0
280.63,41.7,4.407,0.0
281.63,41.7,4.444,0.0
282.63,41.7,4.453,0.0
283.63,41.7,4.496,0.0
285.0,41.7,4.356,0.0
286.07,41.7,4.444,0.0
287.07,41.7,4.316,0.0
289.57,41.8,4.375,0.0
290.92,41.8,4.507,0.0
291.92,41.8,4.557,0.0
293.04,41.8,4.523,0.0
294.04,41.8,4.485,0.0
295.07,41.8,4.54,0.0
296.08,41.8,4.538,0.0
297.08,41.8,4.384,0.0
298.61,41.9,4.572,0.0
