Time(s),Temp(C),Power(W),Gov_Memory(KB)
0.0,37.7,2.14,0.0
1.0,37.7,2.133,0.0
2.0,37.7,6.16,0.0
3.57,37.7,5.684,0.0
4.57,37.6,5.49,0.0
5.98,37.6,5.49,0.0
6.98,37.6,5.438,0.0
7.98,37.6,5.336,0.0
8.98,37.6,5.221,0.0
9.98,37.6,5.221,0.0
10.98,37.6,5.125,0.0
13.17,37.6,5.151,0.0
14.17,37.6,4.975,0.0
15.57,37.6,5.076,0.0
16.89,37.6,5.023,0.0
18.41,37.7,4.87,0.0
19.86,37.7,4.866,0.0
20.86,37.7,4.866,0.0
21.86,37.7,5.182,0.0
22.86,37.7,4.869,0.0
24.36,37.7,4.866,0.0
26.01,37.7,5.077,0.0
27.01,37.7,4.89,0.0
28.01,37.8,5.037,0.0
29.39,37.9,4.8,0.0
31.31,37.9,4.81,0.0
32.31,38.0,4.793,0.0
34.03,38.0,4.796,0.0
35.96,38.0,4.796,0.0
36.96,38.0,4.87,0.0
37.96,38.0,4.775,0.0
38.96,38.0,4.774,0.0
39.96,38.1,4.808,0.0
40.96,38.1,4.947,0.0
42.26,38.1,4.828,0.0
43.34,38.1,4.771,0.0
44.58,38.1,4.737,0.0
45.58,38.1,4.652,0.0
47.05,38.1,4.607,0.0
48.86,38.4,4.645,0.0
51.3,38.4,4.966,0.0
53.09,38.4,4.789,0.0
54.09,38.4,4.904,0.0
56.77,38.4,4.749,0.0
57.77,38.4,4.788,0.0
58.77,38.4,4.696,0.0
59.77,38.6,4.657,0.0
61.12,38.6,4.662,0.0
62.26,38.6,4.713,0.0
63.26,38.6,4.698,0.0
64.26,38.6,4.531,0.0
65.27,38.6,4.569,0.0
66.94,38.6,4.451,0.0
68.41,38.6,4.619,0.0
69.54,38.8,4.921,0.0
70.95,38.8,4.6,0.0
72.09,38.8,4.731,0.0
73.19,38.8,4.509,0.0
75.03,38.8,4.64,0.0
76.08,39.0,4.733,0.0
77.51,39.0,4.7,0.0
78.51,39.0,4.472,0.0
79.86,39.1,4.511,0.0
81.76,39.1,4.418,0.0
82.76,39.1,4.644,0.0
83.76,39.1,4.551,0.0
85.2,39.1,4.656,0.0
88.6,39.1,4.431,0.0
89.89,39.1,4.593,0.0
90.89,39.3,4.485,0.0
91.89,39.3,4.609,0.0
92.89,39.3,4.475,0.0
93.89,39.3,4.571,0.0
95.93,39.3,4.58,0.0
96.93,39.3,4.569,0.0
98.19,39.3,4.508,0.0
99.19,39.4,4.509,0.0
100.5,39.4,4.529,0.0
101.79,39.4,4.642,0.0
103.34,39.4,4.511,0.0
104.34,39.4,4.511,0.0
105.69,39.4,4.564,0.0
106.77,39.4,4.452,0.0
107.77,39.4,4.525,0.0
109.17,39.4,4.622,0.0
110.17,39.6,4.673,0.0
111.17,39.6,4.692,0.0
112.17,39.6,4.691,0.0
113.22,39.6,4.638,0.0
114.45,39.6,4.638,0.0
115.45,39.6,4.581,0.0
117.07,39.6,4.762,0.0
118.07,39.6,4.579,0.0
119.07,39.6,4.466,0.0
120.28,39.8,4.566,0.0
122.61,39.8,4.51,0.0
123.61,39.8,4.51,0.0
124.61,39.8,4.638,0.0
126.39,39.8,4.486,0.0
127.8,39.8,4.525,0.0
128.8,39.8,4.545,0.0
129.8,39.9,4.582,0.0
131.03,39.9,4.556,0.0
132.55,40.0,4.546,0.0
133.88,40.0,4.621,0.0
134.88,40.0,4.492,0.0
136.22,40.0,4.54,0.0
137.22,40.1,4.598,0.0
138.82,40.1,4.543,0.0
139.82,40.1,4.574,0.0
141.38,40.1,4.668,0.0
142.59,40.1,4.499,0.0
143.97,40.1,4.406,0.0
145.24,40.1,4.368,0.0
146.28,40.1,4.509,0.0
147.77,40.1,4.578,0.0
148.77,40.1,4.541,0.0
150.1,40.1,4.533,0.0
151.1,40.3,4.56,0.0
152.25,40.3,4.485,0.0
153.25,40.3,4.479,0.0
154.25,40.3,4.616,0.0
155.25,40.3,4.59,0.0
156.77,40.3,4.466,0.0
158.44,40.4,4.54,0.0
160.95,40.4,4.348,0.0
163.08,40.4,4.488,0.0
164.08,40.4,4.651,0.0
165.19,40.4,4.653,0.0
166.23,40.4,4.523,0.0
167.52,40.4,4.521,0.0
168.53,40.6,4.484,0.0
170.87,40.6,4.293,0.0
172.18,40.6,4.56,0.0
173.18,40.6,4.556,0.0
174.18,40.6,4.539,0.0
175.75,40.6,4.523,0.0
176.75,40.6,4.598,0.0
177.75,40.6,4.553,0.0
178.89,40.6,4.484,0.0
180.3,40.7,4.373,0.0
182.3,40.7,4.764,0.0
183.99,40.7,4.41,0.0
185.68,40.7,4.46,0.0
186.68,40.7,4.483,0.0
187.68,40.7,4.559,0.0
188.94,40.7,4.552,0.0
189.94,40.7,4.424,0.0
190.94,40.8,4.388,0.0
191.94,40.8,4.246,0.0
193.18,40.8,4.294,0.0
194.78,40.8,4.223,0.0
196.63,40.8,4.313,0.0
197.76,40.8,4.334,0.0
198.84,40.8,4.276,0.0
199.84,40.9,4.145,0.0
201.64,40.9,4.144,0.0
202.65,40.9,4.46,0.0
205.08,40.9,4.299,0.0
206.77,40.9,4.539,0.0
207.77,40.9,4.427,0.0
208.85,40.9,4.427,0.0
210.04,41.0,4.495,0.0
211.04,41.0,4.404,0.0
212.11,41.0,4.336,0.0
213.11,41.0,4.335,0.0
214.11,41.0,4.315,0.0
215.81,41.0,4.311,0.0
216.81,41.0,4.279,0.0
217.83,41.0,4.348,0.0
219.74,41.0,4.354,0.0
220.74,41.1,4.387,0.0
221.74,41.1,4.351,0.0
223.58,41.1,4.429,0.0
224.58,41.1,4.425,0.0
225.58,41.1,4.48,0.0
227.15,41.1,4.439,0.0
