Time(s),Temp(C),Power(W),Gov_Memory(KB)
0.0,37.9,0.483,0.0
1.0,37.8,7.245,0.0
2.0,37.8,6.494,0.0
3.0,37.8,5.761,0.0
4.29,37.8,5.782,0.0
5.29,37.8,5.513,0.0
6.29,37.8,5.357,0.0
7.77,37.8,5.095,0.0
8.77,37.8,5.288,0.0
10.07,37.8,5.102,0.0
11.45,37.8,4.923,0.0
12.45,37.8,4.933,0.0
13.45,37.8,5.092,0.0
14.45,37.8,4.87,0.0
16.0,37.8,5.027,0.0
17.0,37.8,5.045,0.0
18.19,37.8,5.115,0.0
19.19,37.8,5.115,0.0
20.2,37.8,5.149,0.0
21.62,37.9,5.142,0.0
23.27,37.9,5.061,0.0
24.27,37.9,4.861,0.0
25.28,37.9,4.822,0.0
26.57,38.0,4.774,0.0
28.33,38.0,4.778,0.0
29.33,38.0,4.726,0.0
30.33,38.0,4.859,0.0
31.33,38.0,4.971,0.0
32.33,38.1,5.147,0.0
33.33,38.1,5.149,0.0
34.34,38.1,4.909,0.0
35.67,38.1,4.817,0.0
36.67,38.1,4.793,0.0
37.67,38.1,4.943,0.0
38.67,38.1,4.848,0.0
39.67,38.1,4.867,0.0
40.67,38.1,4.866,0.0
41.67,38.1,4.961,0.0
42.67,38.3,4.809,0.0
44.06,38.3,4.651,0.0
45.06,38.3,4.85,0.0
46.06,38.3,4.776,0.0
47.52,38.3,4.776,0.0
48.52,38.3,4.773,0.0
50.04,38.3,4.738,0.0
51.04,38.3,4.922,0.0
52.24,38.5,4.925,0.0
53.24,38.5,4.958,0.0
54.25,38.5,4.858,0.0
55.41,38.5,4.81,0.0
56.49,38.5,4.941,0.0
58.88,38.5,4.79,0.0
59.88,38.5,4.795,0.0
60.89,38.5,4.818,0.0
61.89,38.7,4.793,0.0
63.97,38.7,4.661,0.0
64.99,38.7,4.496,0.0
66.05,38.7,4.72,0.0
67.05,38.9,4.649,0.0
70.28,38.9,4.625,0.0
71.77,39.0,4.77,0.0
73.04,39.0,4.833,0.0
74.04,39.0,4.553,0.0
75.04,39.0,4.571,0.0
76.12,39.0,4.74,0.0
77.19,39.0,4.422,0.0
78.19,39.0,4.697,0.0
79.23,39.0,4.589,0.0
80.47,39.2,4.693,0.0
82.8,39.2,4.682,0.0
83.8,39.2,4.702,0.0
84.8,39.2,4.66,0.0
86.22,39.2,4.68,0.0
87.22,39.2,4.712,0.0
88.22,39.2,4.885,0.0
89.22,39.2,4.81,0.0
90.22,39.2,4.749,0.0
91.22,39.2,4.696,0.0
92.22,39.4,4.628,0.0
93.28,39.4,4.547,0.0
94.28,39.4,4.686,0.0
95.28,39.4,4.628,0.0
96.28,39.4,4.573,0.0
97.48,39.4,4.538,0.0
98.92,39.4,4.536,0.0
99.92,39.4,4.571,0.0
100.92,39.4,4.664,0.0
101.92,39.6,4.416,0.0
103.22,39.6,4.548,0.0
105.48,39.6,4.476,0.0
106.48,39.6,4.572,0.0
108.23,39.6,4.659,0.0
109.23,39.6,4.445,0.0
110.31,39.6,4.425,0.0
111.31,39.6,4.406,0.0
112.31,39.8,4.515,0.0
113.31,39.8,4.497,0.0
114.8,39.8,4.495,0.0
115.8,39.8,4.497,0.0
116.8,39.8,4.677,0.0
117.8,39.8,4.676,0.0
118.8,39.8,4.621,0.0
119.8,39.8,4.659,0.0
120.8,39.9,4.726,0.0
122.72,40.0,4.509,0.0
125.49,40.0,4.792,0.0
126.49,40.0,4.84,0.0
128.1,40.1,4.619,0.0
129.52,40.1,4.604,0.0
130.65,40.1,4.799,0.0
132.51,40.2,4.691,0.0
133.67,40.2,4.528,0.0
134.67,40.2,4.547,0.0
136.17,40.2,4.512,0.0
137.86,40.2,4.687,0.0
139.88,40.2,4.552,0.0
140.88,40.2,4.557,0.0
141.88,40.3,4.521,0.0
144.31,40.3,4.605,0.0
145.55,40.3,4.505,0.0
146.55,40.3,4.679,0.0
147.55,40.3,4.584,0.0
148.55,40.3,4.602,0.0
149.55,40.3,4.608,0.0
150.75,40.3,4.598,0.0
151.75,40.3,4.41,0.0
152.75,40.4,4.492,0.0
153.75,40.4,4.363,0.0
154.94,40.4,4.397,0.0
155.94,40.4,4.398,0.0
156.94,40.4,4.254,0.0
158.38,40.4,4.638,0.0
159.38,40.4,4.547,0.0
160.38,40.4,4.453,0.0
162.09,40.6,4.458,0.0
163.09,40.6,4.398,0.0
164.09,40.6,4.403,0.0
165.09,40.6,4.496,0.0
166.09,40.6,4.583,0.0
167.09,40.6,4.583,0.0
168.09,40.6,4.524,0.0
169.98,40.6,4.8,0.0
171.25,40.6,4.661,0.0
172.25,40.7,4.598,0.0
173.25,40.7,4.562,0.0
174.25,40.7,4.567,0.0
176.17,40.7,4.328,0.0
177.85,40.7,4.685,0.0
178.85,40.7,4.483,0.0
180.2,40.7,4.542,0.0
181.2,40.7,4.428,0.0
182.2,40.7,4.428,0.0
183.2,40.8,4.644,0.0
184.2,40.8,4.662,0.0
185.2,40.8,4.607,0.0
186.66,40.8,4.583,0.0
188.81,40.8,4.582,0.0
189.81,40.8,4.524,0.0
192.9,40.9,4.597,0.0
193.9,41.0,4.889,0.0
194.9,41.0,4.751,0.0
196.74,41.0,4.566,0.0
197.8,41.0,4.562,0.0
198.8,41.0,4.595,0.0
