Time(s),Temp(C),Power(W),Gov_Memory(KB)
0.0,37.6,0.456,16.0
1.01,37.6,4.248,16.0
2.01,37.6,7.0,16.0
3.2,37.6,5.701,16.0
4.31,37.6,5.503,16.0
5.48,37.6,5.34,16.0
7.19,37.7,5.701,16.0
8.19,37.7,5.432,16.0
9.78,37.7,5.355,16.0
12.32,37.7,5.111,16.0
13.54,37.7,4.957,16.0
14.74,37.7,4.923,16.0
15.74,37.7,4.9,16.0
17.02,37.7,4.785,16.0
19.1,37.7,4.927,16.0
20.1,37.9,4.975,16.0
21.65,37.9,4.582,16.0
23.08,38.0,4.582,16.0
24.08,38.0,4.827,16.0
25.15,38.0,4.735,16.0
26.15,38.0,4.809,16.0
27.26,38.0,4.369,16.0
29.25,38.0,4.849,16.0
30.25,38.2,4.829,16.0
31.25,38.2,4.691,16.0
34.58,38.2,4.745,16.0
36.25,38.2,4.574,16.0
37.25,38.2,4.634,16.0
38.25,38.2,4.553,16.0
40.66,38.5,4.735,16.0
41.99,38.5,4.727,16.0
44.29,38.5,4.711,16.0
45.3,38.5,4.655,16.0
46.3,38.5,4.427,16.0
48.81,38.5,4.681,16.0
50.65,38.8,4.471,16.0
52.07,38.8,4.502,16.0
53.07,38.8,4.578,16.0
54.7,38.8,4.444,16.0
56.46,39.0,4.557,16.0
58.14,39.0,4.499,16.0
60.34,39.1,4.654,16.0
61.34,39.1,4.453,16.0
64.35,39.1,4.639,16.0
65.47,39.1,4.552,16.0
68.39,39.1,4.42,16.0
70.12,39.4,4.332,16.0
71.7,39.4,4.553,16.0
72.7,39.4,4.545,16.0
73.72,39.4,4.594,16.0
75.55,39.4,4.436,16.0
78.07,39.4,4.477,16.0
80.49,39.7,4.816,16.0
82.41,39.7,4.817,16.0
83.41,39.8,4.812,16.0
84.41,39.8,4.803,16.0
86.27,39.8,4.497,16.0
87.67,39.8,4.439,16.0
89.23,39.8,4.496,16.0
90.64,39.9,4.474,16.0
91.64,40.0,4.493,16.0
94.19,40.0,4.284,16.0
97.78,40.0,4.477,16.0
98.78,40.0,4.368,16.0
100.07,40.2,4.348,16.0
102.02,40.2,4.437,16.0
103.69,40.2,4.608,16.0
105.91,40.3,4.332,16.0
108.76,40.3,4.401,16.0
109.89,40.5,4.399,16.0
111.74,40.5,4.477,16.0
112.74,40.5,4.626,16.0
113.74,40.5,4.628,16.0
115.03,40.5,4.344,16.0
117.35,40.5,4.46,16.0
118.75,40.5,4.461,16.0
120.44,40.7,4.307,16.0
122.07,40.7,4.643,16.0
125.31,40.7,4.285,16.0
126.86,40.7,4.308,16.0
127.86,40.7,4.495,16.0
128.86,40.7,4.368,16.0
130.73,40.9,4.573,16.0
132.12,41.0,4.367,16.0
134.29,41.0,4.288,16.0
136.3,41.0,4.38,16.0
139.39,41.0,4.522,16.0
140.83,41.2,4.307,16.0
142.62,41.2,4.23,16.0
144.23,41.2,4.414,16.0
145.23,41.2,4.346,16.0
147.1,41.2,4.29,16.0
149.16,41.2,4.209,16.0
150.79,41.4,4.153,16.0
152.78,41.4,4.418,16.0
154.21,41.4,4.29,16.0
155.21,41.4,4.549,16.0
157.67,41.4,4.511,16.0
159.15,41.4,4.176,16.0
161.25,41.5,4.17,16.0
162.77,41.5,4.17,16.0
163.77,41.5,4.499,16.0
165.46,41.5,4.363,16.0
166.83,41.5,4.623,16.0
167.83,41.5,4.774,16.0
169.26,41.5,4.679,16.0
170.68,41.5,4.679,16.0
171.68,41.7,4.69,16.0
172.68,41.7,4.354,16.0
174.45,41.7,4.308,16.0
175.97,41.7,4.284,16.0
178.27,41.7,4.245,16.0
180.22,41.7,4.303,16.0
181.22,41.9,4.307,16.0
183.02,42.0,4.341,16.0
184.09,42.0,4.381,16.0
185.88,42.0,4.288,16.0
186.88,42.0,4.189,16.0
188.59,42.0,4.092,16.0
189.98,42.1,4.214,16.0
191.93,42.1,4.089,16.0
192.93,42.1,4.227,16.0
194.66,42.1,4.321,16.0
195.75,42.1,4.337,16.0
197.54,42.1,4.227,16.0
198.54,42.1,4.452,16.0
200.16,42.2,4.373,16.0
202.62,42.2,4.382,16.0
204.77,42.2,4.205,16.0
206.12,42.2,4.374,16.0
207.63,42.2,4.284,16.0
209.05,42.2,4.244,16.0
210.97,42.4,4.134,16.0
212.62,42.4,4.132,16.0
214.56,42.4,4.168,16.0
215.72,42.4,4.186,16.0
216.72,42.4,4.259,16.0
219.58,42.4,4.248,16.0
222.22,42.6,4.147,16.0
224.85,42.6,4.378,16.0
226.33,42.6,4.282,16.0
228.19,42.6,4.186,16.0
230.0,42.6,4.184,16.0
231.0,42.7,4.266,16.0
232.0,42.7,4.3,16.0
233.64,42.7,4.15,16.0
235.34,42.7,4.111,16.0
236.34,42.7,4.192,16.0
238.06,42.7,4.228,16.0
239.99,42.7,4.301,16.0
240.99,42.9,4.203,16.0
243.35,42.9,4.145,16.0
244.35,42.9,4.11,16.0
246.95,42.9,4.185,16.0
247.95,43.0,4.053,16.0
249.63,43.0,4.15,16.0
251.07,43.0,4.093,16.0
253.12,43.0,4.093,16.0
255.8,43.0,4.086,16.0
256.8,43.0,4.261,16.0
258.92,43.0,4.313,16.0
259.92,43.0,4.072,16.0
260.92,43.1,4.228,16.0
262.35,43.1,4.089,16.0
264.52,43.1,4.339,16.0
266.02,43.1,4.283,16.0
268.13,43.1,4.184,16.0
269.13,43.1,4.169,16.0
271.56,43.3,4.206,16.0
273.3,43.3,4.162,16.0
274.89,43.3,4.034,16.0
277.02,43.3,4.17,16.0
278.66,43.3,4.169,16.0
279.66,43.3,4.319,16.0
281.82,43.3,4.148,16.0
283.2,43.3,4.127,16.0
284.2,43.3,4.246,16.0
285.81,43.3,4.337,16.0
287.69,43.3,4.338,16.0
289.88,43.4,4.127,16.0
292.58,43.4,4.162,16.0
294.13,43.4,4.426,16.0
295.81,43.4,4.556,16.0
297.06,43.4,4.502,16.0
298.12,43.4,4.388,16.0
